publishedTime,simpleText,votes,author,isReply,isHearted,isPinned,isPaid,paidAmount,isSponsor,sponsorshipMonths
23-02-2024,"The best one I heard today was this quip:  ""Religion and politics have mixed so well in 'secular' India, that people have started treating a politician like a religious leader, and Shankaracharya like a politician.""",97,@EssKay7023,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,The politicians have mixed with peaceful community so well that they started behaving non secular in a secular country  with a peaceful topi . But the seculars think it is secular .,0,@adityastyles259,TRUE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,Government change hone ke baad mandir banane ka chance kam ho sakta hai isliye pahle hi pratishtha kar rahe hai modi ji,4,@cinemagicworld6562,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,😂🤣😂🤣,2,@haraharahara6350,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,"Tum logonkaa dhandha ab nahi chalega , i know how fraud you people are",2,@Anjing-Koththadimai,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,WAAH RE HINDU WAAH JO TUMHARA DHARM KO PAKAR KE HAI USIKO FRAUD KEHETE HO 😂😂😂😂😂😂 AJ SHANKARACHARYA NHI REHETE TOH HINDU DHARM BHI NHI REHETA KYA BEBAKOOF HAI HINDU WAAH 😂😂,0,@E4X_JOD,TRUE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,आपके नही आने से कोई फर्क नही पड़ा। हो गया राम लला का प्राण प्रतिष्ठा।।। जय श्री राम🙏🚩🚩🚩🚩,2,@sureshrathore7519,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,Ha Tum French Cut Rakho .😂😂😂😂,2,@dolphinindia2608,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,Exactly... Itna shor aur hungama to tab nahi hua jab court ne order de dia tha.. aaj pran pratishtha kya hui to itna shor.. 2024 hai sab politics hai kyuki BJP ke pas iske alawa aur kuch hai nahi karne  aur dikhane ko..maha bevkoof janta ko ye kaun samjhaaye..,2,@bharatrao7021,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,Who the f😮ck is that guy,1,@NolanGraysonNowl,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,Who's playing politics now? The temple is opening. The Lord doesn’t care if you come or not. If you come you are benefitted. If you don't you loose.,1,@p007t,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,"Shankaracharyas are all failures.. Still practising untouchability. Go and work, raise donations build science and technology free institutions for Hindus.",1,@CamSam09,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,I find it disrespectful that modi and his gang turned it into some VIP political show and tell for all his powerful friend’s! They should have given opportunity to the actual public and people from various states and villages! But no they put a beef eating Bhakt on front row along with every bollywood celeb who isn’t worthy of being there! Shame again the rich got to have their way again! And like this guru is saying why the rush?  To win votes why else!,1,@PhoenixRising337,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,"I think this fast ceremony is because ""if congress comes to  power next they will demolish ram mandir"" Or they will stop pran pratishta",1,@vijayananthan5251,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,Mandir mein to construction chalta rehta hain... Is mein dikkat kiya hain... Mandir complete hain haan mandir parisar ke bahari chizen complete nhi hain. Jo itna zaruri nhi aur hote rahenge.,1,@Musicmastishreya,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,हमारे शंकराचार्य मोदी जी ही है बाकी अन्य शंकराचार्य  बातों के अलावा कुछ देश और धर्म के हित में भी काम कर लिया करें,1,@monigupta8947,FALSE,FALSE,FALSE,FALSE,,FALSE,
